id,planet_radius,planet_type,discovery_Method,planet_mass,discovery_date,orbital_radius,orbital_period,eccentricity
5674,0.237 x Jupiter,Neptune-like,Transit,7.56 Earths,2014,0.071 AU,6.5 days,0.0
5675,0.74 x Earth,Terrestrial,Transit,0.5 Earths,2014,0.066 AU,7.4 days,0.0
5676,0.263 x Jupiter,Neptune-like,Transit,9.01 Earths,2014,0.488 AU,125.6 days,0.0
5677,0.233 x Jupiter,Neptune-like,Transit,7.32 Earths,2014,0.153 AU,22 days,0.0
5678,0.215 x Jupiter,Neptune-like,Transit,6.39 Earths,2014,0.088 AU,9 days,0.0
5679,0.222 x Jupiter,Neptune-like,Transit,6.76 Earths,2014,0.242 AU,39.5 days,0.0
5680,1.96 x Earth,Super Earth,Transit,4.5 Earths,2014,0.185 AU,26.2 days,0.0
5681,0.201 x Jupiter,Neptune-like,Transit,5.69 Earths,2014,0.128 AU,15.2 days,0.0
5682,1.85 x Earth,Super Earth,Transit,4.08 Earths,2014,0.182 AU,27.7 days,0.0
5683,1.7 x Earth,Super Earth,Transit,3.53 Earths,2014,0.08 AU,8 days,0.0
5684,1.18 x Earth,Super Earth,Transit,1.76 Earths,2014,0.06 AU,5.2 days,0.0
5685,0.301 x Jupiter,Neptune-like,Transit,11.3 Earths,2014,0.178 AU,22.8 days,0.0
5686,0.226 x Jupiter,Neptune-like,Transit,6.94 Earths,2014,0.134 AU,14.8 days,0.0
5687,1.15 x Earth,Super Earth,Transit,7.3 Earths,2014,0.069 AU,7 days,0.0
5688,1.42 x Earth,Super Earth,Transit,2.6 Earths,2014,0.055 AU,5 days,0.0
5689,1.56 x Earth,Super Earth,Transit Timing Variations,8.5 Earths,2014,0.089744 AU,9.3 days,0.05
5690,0.268 x Jupiter,Neptune-like,Transit,9.27 Earths,2014,0.257 AU,44.4 days,0.03
5691,0.209 x Jupiter,Neptune-like,Transit,6.08 Earths,2014,0.172 AU,24.3 days,0.03
5692,2.44 x Earth,Super Earth,Transit,30.6 Earths,2014,0.117 AU,13.7 days,0.04
5693,2.05 x Earth,Super Earth,Transit,4.86 Earths,2014,0.093 AU,9.7 days,0.0
5694,1.54 x Earth,Super Earth,Transit,2.99 Earths,2014,0.045 AU,3.3 days,0.0
5695,0.211 x Jupiter,Neptune-like,Transit,6.21 Earths,2014,0.154 AU,20.7 days,0.0
