id,planet_radius,planet_type,discovery_Method,planet_mass,discovery_date,orbital_radius,orbital_period,eccentricity
0,0.558 x Jupiter,Neptune-like,Transit,32.7 Earths,2024,0.06614 AU,6.3 days,
1,1.43 x Earth (estimate),Super Earth,Microlensing,2.63 Earths,2024,2.63 AU,6 years,
2,1.23 x Jupiter (estimate),Gas Giant,Microlensing,0.95 Jupiters,2024,3.58 AU,7.9 years,
3,0.354 x Jupiter (estimate),Neptune-like,Microlensing,14.93794 Earths,2024,2.07 AU,4.9 years,
4,1.18 x Jupiter (estimate),Gas Giant,Microlensing,2.59 Jupiters,2024,1.88 AU,4 years,
5,1.21 x Jupiter (estimate),Gas Giant,Microlensing,0.38 Jupiters,2024,2.5 AU,5.3 years,
6,0.7 x Earth,Terrestrial,Transit,0.271 Earths,2024,Unknown,0.9 days,
7,1.12 x Jupiter (estimate),Gas Giant,Radial Velocity,8.49 Jupiters,2024,7.39 AU,18.4 years,0.08
8,0.51 x Earth,Terrestrial,Transit,0.087 Earths,2024,Unknown,0.7 days,
9,0.4 x Earth,Terrestrial,Transit,0.0364 Earths,2024,Unknown,0.6 days,
10,0.6 x Earth,Terrestrial,Transit,0.156 Earths,2024,Unknown,0.9 days,
11,0.43 x Earth,Terrestrial,Transit,0.0472 Earths,2024,Unknown,0.6 days,
12,1.083 x Jupiter,Gas Giant,Transit,2.412 Jupiters,2024,0.1093 AU,11.2 days,0.03
13,1.34 x Jupiter,Gas Giant,Transit,0.927 Jupiters,2024,0.0684 AU,5.8 days,0.06
14,0.764 x Earth (estimate),Terrestrial,Radial Velocity,0.37 Earths,2024,0.02294 AU,3.2 days,< 0.16
15,0.558 x Jupiter,Neptune-like,Transit,32.7 Earths,2024,0.06614 AU,6.3 days,
16,1.43 x Earth (estimate),Super Earth,Microlensing,2.63 Earths,2024,2.63 AU,6 years,
17,1.23 x Jupiter (estimate),Gas Giant,Microlensing,0.95 Jupiters,2024,3.58 AU,7.9 years,
18,0.354 x Jupiter (estimate),Neptune-like,Microlensing,14.93794 Earths,2024,2.07 AU,4.9 years,
19,1.18 x Jupiter (estimate),Gas Giant,Microlensing,2.59 Jupiters,2024,1.88 AU,4 years,
20,1.21 x Jupiter (estimate),Gas Giant,Microlensing,0.38 Jupiters,2024,2.5 AU,5.3 years,
21,0.7 x Earth,Terrestrial,Transit,0.271 Earths,2024,Unknown,0.9 days,
22,1.12 x Jupiter (estimate),Gas Giant,Radial Velocity,8.49 Jupiters,2024,7.39 AU,18.4 years,0.08
23,0.51 x Earth,Terrestrial,Transit,0.087 Earths,2024,Unknown,0.7 days,
24,0.4 x Earth,Terrestrial,Transit,0.0364 Earths,2024,Unknown,0.6 days,
25,0.6 x Earth,Terrestrial,Transit,0.156 Earths,2024,Unknown,0.9 days,
26,0.43 x Earth,Terrestrial,Transit,0.0472 Earths,2024,Unknown,0.6 days,
27,1.083 x Jupiter,Gas Giant,Transit,2.412 Jupiters,2024,0.1093 AU,11.2 days,0.03
28,1.34 x Jupiter,Gas Giant,Transit,0.927 Jupiters,2024,0.0684 AU,5.8 days,0.06
29,0.764 x Earth (estimate),Terrestrial,Radial Velocity,0.37 Earths,2024,0.02294 AU,3.2 days,< 0.16
30,1.15 x Jupiter (estimate),Gas Giant,Radial Velocity,5.19 Jupiters,2024,10.8 AU,40.8 years,0.56
31,0.708 x Jupiter,Gas Giant,Transit,0.152 Jupiters,2024,0.1228 AU,14.3 days,0.08
32,1.14 x Jupiter (estimate),Gas Giant,Transit Timing Variations,5.77 Jupiters,2024,5.219 AU,10.9 years,0.12
33,1.148 x Jupiter,Gas Giant,Transit,0.71422 Jupiters,2024,0.098 AU,10.6 days,0.41
34,1.195 x Jupiter,Gas Giant,Transit,2.00737 Jupiters,2024,0.048 AU,3.6 days,< 0.035
35,1.224 x Jupiter,Gas Giant,Transit,0.71737 Jupiters,2024,0.036 AU,2.5 days,< 0.164
36,0.241 x Jupiter,Neptune-like,Transit,17.7 Earths,2024,0.1726 AU,25.1 days,0.0
37,0.483 x Jupiter,Neptune-like,Transit,26.4 Earths,2024,0.0485 AU,4.4 days,0.04
38,1.025 x Jupiter,Gas Giant,Transit,1.966 Jupiters,2024,0.02793 AU,2.1 days,0.0
39,1.046 x Jupiter,Gas Giant,Transit,5.76 Jupiters,2024,0.05263 AU,5.5 days,0.34
40,1.063 x Jupiter,Gas Giant,Transit,0.798 Jupiters,2024,0.02949 AU,2.6 days,0.04
41,1.026 x Jupiter,Gas Giant,Transit,12.74 Jupiters,2024,0.33 AU,69 days,0.02
42,0.364 x Jupiter (estimate),Neptune-like,Microlensing,15.6 Earths,2024,5.75 AU,19.5 years,
43,0.879 x Jupiter,Gas Giant,Transit,2.06715 Jupiters,2024,0.0469 AU,4.3 days,0.0
44,1.03 x Jupiter,Gas Giant,Transit,2.34 Jupiters,2024,0.327 AU,64.6 days,0.02
45,1.88 x Earth,Super Earth,Transit,3.72 Earths,2024,0.213 AU,39.4 days,0.0
46,1.42 x Earth,Super Earth,Transit,4.53 Earths,2024,0.0503 AU,4.5 days,0.0
47,0.961 x Jupiter,Gas Giant,Transit,1.96332 Jupiters,2024,0.0272 AU,2 days,0.0
48,0.941 x Jupiter,Gas Giant,Transit,0.617 Jupiters,2024,0.1208 AU,20.4 days,0.04
49,0.923 x Jupiter,Gas Giant,Transit,1.85005 Jupiters,2024,0.0272 AU,2.2 days,0.0
50,1.079 x Earth,Super Earth,Transit,1.44 Earths,2024,Unknown,0.2 days,0.0
51,1.11 x Jupiter (estimate),Gas Giant,Radial Velocity,11.1 Jupiters,2024,6.2 AU,13.9 years,0.26
52,1.489 x Jupiter,Gas Giant,Transit,1.113 Jupiters,2024,Unknown,3.3 days,0.02
53,1.284 x Jupiter,Gas Giant,Transit,1.635 Jupiters,2024,Unknown,5.8 days,0.09
54,0.566 x Earth,Terrestrial,Transit,0.126 Earths,2024,0.02123 AU,1.7 days,
55,2.22 x Earth,Super Earth,Transit Timing Variations,7.6 Earths,2024,0.03587 AU,2.2 days,0.14
56,1.26 x Jupiter (estimate),Gas Giant,Microlensing,0.591 Jupiters,2024,1.4 AU,1.5 years,
57,1.399 x Earth,Super Earth,Transit,5.6 Earths,2024,0.0107 AU,0.4 days,0.0
58,0.258 x Jupiter,Neptune-like,Transit,10.9 Earths,2024,0.073 AU,6.5 days,0.21
59,2.428 x Earth,Super Earth,Transit,10 Earths,2023,0.06 AU,5.3 days,0.0
60,0.226 x Jupiter,Neptune-like,Transit,6.1 Earths,2023,0.12 AU,15.9 days,0.0
61,2.5 x Earth,Super Earth,Transit,10.5 Earths,2024,0.122 AU,17.5 days,0.39
62,1.364 x Earth,Super Earth,Transit,4.3 Earths,2023,0.0443 AU,3 days,0.0
63,0.227 x Jupiter,Neptune-like,Transit,8.7 Earths,2023,0.076 AU,7 days,0.0
64,2.524 x Earth,Super Earth,Transit,10.7 Earths,2023,0.139 AU,19.6 days,0.2
65,0.226 x Jupiter,Neptune-like,Transit,8.9 Earths,2023,0.093 AU,10.8 days,0.0
66,0.538 x Jupiter,Gas Giant,Transit,0.13152 Jupiters,2017,0.0458 AU,3.8 days,0.0
67,0.502 x Jupiter (estimate),Neptune-like,Radial Velocity,27 Earths,2024,0.239 AU,47.6 days,0.0
68,1.27 x Jupiter (estimate),Gas Giant,Radial Velocity,0.46251 Jupiters,2024,0.61 AU,159.9 days,0.0
69,1.188 x Jupiter,Gas Giant,Transit,3.2 Jupiters,2024,0.02065 AU,1.4 days,< 0.009
70,1.186 x Jupiter,Gas Giant,Transit,4.98 Jupiters,2024,0.641 AU,165.8 days,0.94
71,0.341 x Jupiter,Neptune-like,Transit,30.3 Earths,2024,0.01714 AU,0.9 days,0.0
72,2.089 x Earth,Neptune-like,Transit,4.5 Earths,2024,0.127 AU,16.3 days,0.0
73,0.329 x Jupiter,Neptune-like,Transit,37 Earths,2024,0.472 AU,124.7 days,0.0
74,0.232 x Jupiter,Neptune-like,Transit,8 Earths,2024,0.03089 AU,1.8 days,0.0
75,0.739 x Jupiter,Neptune-like,Transit,24.7 Earths,2024,0.157 AU,20.4 days,0.0
76,2.744 x Earth,Super Earth,Transit,16 Earths,2024,0.151 AU,22.8 days,0.0
77,1.422 x Earth,Super Earth,Transit,4 Earths,2024,0.071 AU,7.1 days,0.0
78,0.294 x Jupiter,Neptune-like,Transit,8.7 Earths,2024,0.082 AU,8.8 days,0.0
79,1.216 x Earth,Super Earth,Transit,1.4 Earths,2024,0.0378 AU,2.8 days,0.0
80,0.718 x Jupiter,Gas Giant,Transit,0.30205 Jupiters,2024,0.08 AU,10.2 days,0.0
81,0.317 x Jupiter,Neptune-like,Transit,6.9 Earths,2024,0.138 AU,20.7 days,0.0
82,2.479 x Earth,Super Earth,Transit,16.6 Earths,2024,0.059 AU,5.4 days,0.0
83,0.294 x Jupiter,Neptune-like,Transit,10.4 Earths,2024,0.114 AU,13.7 days,0.0
84,0.318 x Jupiter,Neptune-like,Transit,14.6 Earths,2024,0.126 AU,16.7 days,0.0
85,2.296 x Earth,Super Earth,Transit,13 Earths,2024,0.0376 AU,2.7 days,0.0
86,0.371 x Jupiter,Neptune-like,Transit,16.5 Earths,2024,0.065 AU,6.4 days,0.0
87,2.611 x Earth,Super Earth,Transit,15.2 Earths,2024,0.127 AU,16.5 days,0.0
88,2.304 x Earth,Super Earth,Transit,30 Earths,2024,0.147 AU,23.5 days,0.0
89,2.24 x Earth,Super Earth,Transit,9.6 Earths,2024,0.14 AU,18.8 days,0.17
90,0.903 x Jupiter,Gas Giant,Transit,0.20105 Jupiters,2024,0.051 AU,3.9 days,0.0
91,2.661 x Earth,Super Earth,Transit,10.6 Earths,2024,0.085 AU,9.6 days,0.0
92,0.214 x Jupiter,Neptune-like,Transit,6.4 Earths,2024,0.0496 AU,4.3 days,0.0
93,0.292 x Jupiter,Neptune-like,Transit,11.9 Earths,2024,0.109 AU,13.1 days,0.0
94,0.607 x Jupiter,Neptune-like,Transit,27.4 Earths,2024,0.051 AU,4.4 days,0.0
95,0.212 x Jupiter,Neptune-like,Transit,6.6 Earths,2024,0.061 AU,6.4 days,0.0
96,0.215 x Jupiter,Neptune-like,Transit,6.8 Earths,2024,0.056 AU,5.7 days,0.0
97,0.271 x Jupiter,Neptune-like,Transit,10 Earths,2024,0.082 AU,9.7 days,0.0
98,0.224 x Jupiter,Neptune-like,Transit,32 Earths,2024,0.08 AU,9 days,0.0
99,0.82 x Jupiter,Neptune-like,Transit,27.4 Earths,2024,0.0696 AU,7.1 days,0.02
100,0.744 x Jupiter,Gas Giant,Transit,0.251 Jupiters,2024,0.03418 AU,3.5 days,< 0.083
101,0.255 x Jupiter,Neptune-like,Transit,20.8 Earths,2024,0.077 AU,6.9 days,0.0
102,1.71 x Earth,Super Earth,Transit,4.23 Earths,2024,0.0943 AU,13.5 days,0.0
103,1.168 x Jupiter,Gas Giant,Transit,3.72 Jupiters,2024,0.073 AU,5.9 days,0.33
104,1.14 x Jupiter,Gas Giant,Transit,2.34 Jupiters,2024,0.05593 AU,4.1 days,0.04
105,1.438 x Jupiter,Gas Giant,Transit,1.15 Jupiters,2024,0.06311 AU,4.6 days,0.04
106,1.099 x Jupiter,Gas Giant,Transit,3.88 Jupiters,2024,0.0795 AU,7.4 days,0.26
107,1.363 x Jupiter,Gas Giant,Transit,0.82 Jupiters,2024,0.05354 AU,4.3 days,0.05
108,1.388 x Jupiter,Gas Giant,Transit,0.554 Jupiters,2024,0.047 AU,3.7 days,0.05
109,0.967 x Jupiter,Gas Giant,Transit,0.65 Jupiters,2024,0.05649 AU,5.2 days,0.06
110,1.211 x Jupiter,Gas Giant,Transit,0.83 Jupiters,2024,0.03515 AU,2.5 days,0.03
111,0.476 x Jupiter,Neptune-like,Transit,34.4 Earths,2024,0.128 AU,15.3 days,0.0
112,0.838 x Jupiter,Gas Giant,Transit,0.40588 Jupiters,2024,0.269 AU,45.5 days,0.48
113,1.65 x Jupiter,Gas Giant,Transit,1.133 Jupiters,2024,0.02398 AU,1.4 days,0.03
114,0.673 x Jupiter,Gas Giant,Transit,0.21206 Jupiters,2024,0.212 AU,38.8 days,0.0
115,2.365 x Earth,Super Earth,Transit,9.7 Earths,2024,0.154 AU,21.3 days,0.3
116,0.379 x Jupiter,Gas Giant,Transit,38.5 Earths,2024,0.192 AU,27.6 days,0.16
117,0.441 x Jupiter,Gas Giant,Transit,0.12711 Jupiters,2024,0.0638 AU,5.7 days,0.39
118,0.213 x Jupiter,Neptune-like,Transit,6.5 Earths,2024,0.074 AU,8 days,0.0
119,0.289 x Jupiter (estimate),Neptune-like,Radial Velocity,10.59 Earths,2024,0.4894 AU,151.9 days,0.06
120,0.232 x Jupiter (estimate),Neptune-like,Radial Velocity,7.27 Earths,2024,0.1951 AU,38.1 days,0.55
121,2.06 x Earth (estimate),Super Earth,Radial Velocity,4.88 Earths,2024,0.0652 AU,7.3 days,0.06
122,1.15 x Jupiter (estimate),Gas Giant,Microlensing,4.35 Jupiters,2024,3.76 AU,8.8 years,
123,0.257 x Jupiter,Neptune-like,Transit,8.67 Earths,2024,Unknown,17.9 days,0.0
124,2.104 x Earth,Neptune-like,Transit,5.08 Earths,2024,0.0355 AU,4.2 days,
125,2.586 x Earth,Super Earth,Transit,10 Earths,2023,0.048 AU,3.9 days,0.0
126,0.304 x Jupiter,Neptune-like,Transit,9.1 Earths,2023,0.111 AU,13.6 days,0.0
127,1.92 x Earth,Super Earth,Transit,5.2 Earths,2024,0.0576 AU,7.1 days,
128,0.202 x Jupiter,Neptune-like,Transit,3.65 Earths,2024,0.0437 AU,4.7 days,
129,0.203 x Jupiter,Neptune-like,Transit,4.45 Earths,2024,0.0295 AU,2.6 days,
130,0.335 x Jupiter (estimate),Neptune-like,Microlensing,13.6 Earths,2024,3.2 AU,7.6 years,
131,6.21 x Earth,Super Earth,Transit,19.2 Earths,2024,0.0622 AU,4.2 days,< 0.406
132,1.926 x Jupiter,Gas Giant,Transit,12.37 Jupiters,2024,0.0656 AU,4.3 days,0.07
133,0.639 x Jupiter,Gas Giant,Transit,0.21458 Jupiters,2024,0.0249 AU,1.3 days,< 0.09
134,0.608 x Jupiter,Gas Giant,Transit,0.17821 Jupiters,2024,0.0471 AU,4.3 days,< 0.13
135,1.07 x Jupiter (estimate),Gas Giant,Imaging,26.28 Jupiters,2017,431.16 AU,8426.9 years,
136,0.285 x Jupiter,Neptune-like,Transit,16 Earths,2024,Unknown,23.4 days,
137,0.622 x Jupiter (estimate),Gas Giant,Microlensing,38.77507 Earths,2024,2.96 AU,6.5 years,
138,0.628 x Jupiter (estimate),Gas Giant,Microlensing,39.41072 Earths,2024,2.31 AU,5.1 years,
139,1.25 x Jupiter (estimate),Gas Giant,Microlensing,0.4 Jupiters,2024,2.15 AU,4.6 years,
140,1.328 x Jupiter,Gas Giant,Transit,0.292 Jupiters,2024,0.049 AU,4.5 days,0.0
141,1.396 x Jupiter,Gas Giant,Transit,0.593 Jupiters,2024,0.0446 AU,3.4 days,0.0
142,2.122 x Earth,Super Earth,Transit,6.8 Earths,2024,0.0377 AU,5.8 days,0.32
143,2.749 x Earth,Super Earth,Transit,19.5 Earths,2024,0.0567 AU,8.1 days,< 0.36
144,2.734 x Earth,Super Earth,Transit,19.1 Earths,2024,0.0578 AU,8 days,0.19
145,0.909 x Earth,Terrestrial,Transit,0.689 Earths,2024,0.008332 AU,0.4 days,
146,1.894 x Earth,Super Earth,Transit,4.25 Earths,2024,0.024336 AU,2.6 days,
147,0.227 x Jupiter,Neptune-like,Transit,7.03 Earths,2024,0.051205 AU,4.2 days,
148,0.227 x Jupiter,Neptune-like,Transit,7.04 Earths,2024,0.050997 AU,4 days,
149,0.324 x Jupiter,Neptune-like,Transit,12.8 Earths,2024,0.061733 AU,5.2 days,
150,1.719 x Earth,Super Earth,Transit,3.6 Earths,2024,0.029963 AU,1.8 days,
151,0.238 x Jupiter,Neptune-like,Transit,7.59 Earths,2024,0.060118 AU,4.7 days,
152,0.304 x Jupiter,Neptune-like,Transit,11.5 Earths,2024,0.087735 AU,15.1 days,
153,0.235 x Jupiter,Neptune-like,Transit,7.45 Earths,2024,0.036508 AU,3.1 days,
154,0.277 x Jupiter,Neptune-like,Transit,12.5 Earths,2024,0.0207 AU,1.2 days,0.0
155,0.857 x Jupiter,Gas Giant,Transit,0.211 Jupiters,2024,0.055225 AU,4.6 days,
156,0.248 x Jupiter,Neptune-like,Transit,8.14 Earths,2024,0.034191 AU,2.6 days,
157,0.271 x Jupiter,Neptune-like,Transit,9.51 Earths,2024,0.034792 AU,3.4 days,
158,2.219 x Earth,Neptune-like,Transit,5.56 Earths,2024,0.05381 AU,4.9 days,
159,0.211 x Jupiter,Neptune-like,Transit,6.22 Earths,2024,0.02102 AU,1.5 days,
160,1.96 x Earth,Super Earth,Transit,4.5 Earths,2024,0.085518 AU,13.2 days,
161,1.15 x Jupiter (estimate),Gas Giant,Microlensing,4.36 Jupiters,2024,3.7 AU,8.5 years,
162,1.13 x Earth (estimate),Super Earth,Transit,1.527 Earths,2024,Unknown,5.1 days,
163,1.087 x Jupiter,Gas Giant,Transit,4.34 Jupiters,2024,0.1291 AU,16.2 days,0.61
164,0.857 x Jupiter,Gas Giant,Transit,0.393 Jupiters,2024,0.347 AU,69.3 days,0.17
165,1.13 x Earth,Super Earth,Transit,1.258 Earths,2024,Unknown,2 days,
166,0.257 x Jupiter,Neptune-like,Transit,10.48 Earths,2024,0.131 AU,15.6 days,0.03
167,0.302 x Jupiter,Neptune-like,Transit,16.4 Earths,2023,0.0301 AU,3.3 days,0.0
168,1.18 x Earth,Super Earth,Transit,1.76 Earths,2024,0.01541 AU,1.4 days,
169,1.03 x Earth,Super Earth,Transit,4 Earths,2024,0.010777 AU,0.9 days,
170,1.09 x Earth,Super Earth,Transit,4.3 Earths,2024,0.018288 AU,1.4 days,
171,1.11 x Jupiter (estimate),Gas Giant,Imaging,11 Jupiters,2024,12000 AU,1265634.4 years,
172,1.08 x Jupiter (estimate),Gas Giant,Imaging,21 Jupiters,2024,19000 AU,2402178.1 years,
173,1.08 x Jupiter (estimate),Gas Giant,Imaging,21 Jupiters,2024,6100 AU,610348.8 years,
174,0.958 x Earth,Super Earth,Transit,3.87 Earths,2024,0.0668 AU,12.8 days,< 0.5
175,0.977 x Earth,Terrestrial,Transit,0.894 Earths,2024,0.00733 AU,0.7 days,
176,0.285 x Jupiter,Gas Giant,Transit,0.387 Jupiters,2024,0.847 AU,271.9 days,0.12
177,1.11 x Jupiter (estimate),Gas Giant,Imaging,11.6 Jupiters,2018,1950 AU,385314.4 years,
178,0.234 x Jupiter,Neptune-like,Transit,23.5 Earths,2024,0.193 AU,35 days,< 0.22
179,0.262 x Jupiter,Neptune-like,Transit,7.6 Earths,2024,0.0903 AU,11.2 days,< 0.2
180,1.415 x Earth,Super Earth,Transit,2.59 Earths,2024,0.0359 AU,4 days,
181,1.695 x Earth,Super Earth,Transit,3.52 Earths,2024,0.0742 AU,8.3 days,
182,1.15 x Jupiter (estimate),Gas Giant,Eclipse Timing Variations,4.992 Jupiters,2023,0.8 AU,239.5 days,0.06
183,1.08 x Jupiter (estimate),Gas Giant,Imaging,21 Jupiters,2024,435 AU,365 days,
184,1.15 x Jupiter (estimate),Gas Giant,Radial Velocity,4.89 Jupiters,2024,2 AU,2.8 years,0.57
185,0.645 x Jupiter,Gas Giant,Transit,0.463 Jupiters,2024,0.163 AU,23.6 days,0.1
186,1.08 x Jupiter (estimate),Gas Giant,Imaging,21 Jupiters,2024,3319 AU,365 days,
187,1.06 x Jupiter (estimate),Gas Giant,Imaging,28 Jupiters,2024,266 AU,365 days,
188,1.07 x Jupiter (estimate),Gas Giant,Imaging,26 Jupiters,2024,350 AU,9085.5 years,
189,1.08 x Jupiter (estimate),Gas Giant,Imaging,18 Jupiters,2024,572 AU,26844.5 years,
190,1.1 x Jupiter (estimate),Gas Giant,Imaging,12 Jupiters,2024,7493 AU,811226.1 years,
191,1.08 x Jupiter (estimate),Gas Giant,Imaging,20 Jupiters,2024,587 AU,18525.9 years,
192,2.12 x Earth,Neptune-like,Transit,5.14 Earths,2024,0.0872 AU,16.3 days,
193,1.664 x Earth,Super Earth,Transit,3.41 Earths,2024,0.1054 AU,14.4 days,
194,1.23 x Jupiter (estimate),Gas Giant,Microlensing,1.08 Jupiters,2024,1.41 AU,4.1 years,
195,1.26 x Jupiter (estimate),Gas Giant,Microlensing,0.63 Jupiters,2024,1.18 AU,3.1 years,
196,0.327 x Jupiter (estimate),Neptune-like,Microlensing,13.03096 Earths,2024,2.96 AU,6.4 years,
197,1.07 x Jupiter (estimate),Gas Giant,Imaging,23.6 Jupiters,2024,22.1 AU,84.9 years,0.55
198,1.676 x Earth,Super Earth,Transit,9 Earths,2024,0.0495 AU,6 days,0.0
199,1.422 x Earth,Super Earth,Transit,2.61 Earths,2024,0.0207 AU,2.3 days,
200,0.928 x Jupiter,Gas Giant,Transit,0.96 Jupiters,2024,0.408 AU,98.3 days,0.29
201,0.25 x Jupiter,Gas Giant,Transit,23 Jupiters,2023,0.5 AU,19 days,0.36
202,1.821 x Earth,Super Earth,Transit,3.97 Earths,2024,0.0632 AU,7.8 days,
203,1.625 x Earth,Super Earth,Transit,3.27 Earths,2024,0.0352 AU,4.2 days,
204,1.24 x Jupiter (estimate),Gas Giant,Microlensing,0.88 Jupiters,2023,4.5 AU,11.2 years,
205,1.21 x Jupiter (estimate),Gas Giant,Microlensing,1.62 Jupiters,2024,1.14 AU,2.2 years,
206,1.14 x Jupiter (estimate),Gas Giant,Microlensing,5.9 Jupiters,2024,2.09 AU,3.8 years,
207,1.16 x Jupiter (estimate),Gas Giant,Microlensing,3.8 Jupiters,2024,2.53 AU,5.9 years,
208,0.33 x Jupiter (estimate),Neptune-like,Radial Velocity,13.2 Earths,2024,0.1058 AU,13.9 days,0.29
209,Unknown,Gas Giant,Pulsar Timing,2.47 Jupiters,2024,Unknown,0.1 days,
210,1.06 x Jupiter (estimate),Gas Giant,Imaging,29.4 Jupiters,2017,3.52 AU,26.6 years,0.34
211,0.225 x Jupiter,Neptune-like,Transit,5.4 Earths,2024,0.0534 AU,7.4 days,0.14
212,1.25 x Jupiter (estimate),Gas Giant,Microlensing,0.71 Jupiters,2022,2.13 AU,4.6 years,
213,1.2 x Jupiter (estimate),Gas Giant,Radial Velocity,1.8 Jupiters,2024,0.384 AU,77.5 days,0.0
214,1.16 x Jupiter (estimate),Gas Giant,Radial Velocity,3.6 Jupiters,2024,0.17 AU,25.2 days,0.58
215,1.21 x Jupiter (estimate),Gas Giant,Radial Velocity,1.46 Jupiters,2024,0.0435 AU,4 days,0.27
216,1.22 x Jupiter,Gas Giant,Transit,22.1 Jupiters,2024,0.0613 AU,4 days,0.34
217,1.086 x Jupiter,Gas Giant,Transit,2.005 Jupiters,2024,0.118 AU,15.3 days,0.46
218,0.981 x Earth,Terrestrial,Transit,0.907 Earths,2024,0.04 AU,5 days,0.04
219,0.954 x Earth (estimate),Terrestrial,Radial Velocity,0.82 Earths,2024,0.0791 AU,26.1 days,0.07
220,0.938 x Jupiter,Gas Giant,Transit,0.239 Jupiters,2024,0.04988 AU,3.7 days,0.03
221,0.99 x Jupiter,Gas Giant,Transit,0.222 Jupiters,2024,0.0549 AU,4.6 days,0.06
222,1.8 x Earth,Super Earth,Transit,11.1 Earths,2024,0.0171 AU,0.8 days,0.0
223,1.6 x Earth,Super Earth,Transit,6.4 Earths,2024,0.0546 AU,4.8 days,0.0
224,0.832 x Jupiter,Gas Giant,Transit,0.162 Jupiters,2024,0.082337 AU,8 days,0.0
225,0.216 x Jupiter,Neptune-like,Transit,6.46 Earths,2023,0.056 AU,10.9 days,
226,2.167 x Earth,Neptune-like,Transit,5.34 Earths,2023,0.312 AU,84 days,
227,0.555 x Jupiter,Gas Giant,Transit,0.1441 Jupiters,2024,0.173 AU,25.8 days,0.0
228,0.918 x Jupiter (estimate),Gas Giant,Radial Velocity,0.23661 Jupiters,2024,0.75 AU,232 days,0.38
229,1.695 x Earth,Super Earth,Transit,4.65808 Earths,2023,0.075553 AU,7.3 days,0.0
230,1.23 x Jupiter (estimate),Gas Giant,Radial Velocity,0.93944 Jupiters,2023,5.719188 AU,14.3 years,0.02
231,0.47 x Jupiter (estimate),Neptune-like,Radial Velocity,24.14272 Earths,2023,0.312392 AU,60.9 days,0.03
232,1.22 x Jupiter (estimate),Gas Giant,Radial Velocity,1.34071 Jupiters,2023,3.235796 AU,5.6 years,0.01
233,0.265 x Jupiter (estimate),Neptune-like,Radial Velocity,9.09 Earths,2024,0.1046 AU,12.1 days,0.09
234,2.24 x Earth (estimate),Neptune-like,Radial Velocity,5.63 Earths,2024,0.1784 AU,26.9 days,0.08
235,0.301 x Jupiter (estimate),Neptune-like,Radial Velocity,11.31 Earths,2024,0.3007 AU,58.9 days,0.06
236,0.677 x Jupiter (estimate),Gas Giant,Radial Velocity,0.14096 Jupiters,2024,1.941 AU,2.6 years,0.09
237,1.33 x Earth (estimate),Super Earth,Radial Velocity,2.34 Earths,2024,0.0527 AU,4.3 days,0.2
238,1.612 x Earth,Super Earth,Transit,3.4 Earths,2024,0.0212 AU,1.3 days,< 0.18
239,2.951 x Earth,Super Earth,Transit,19.5 Earths,2024,0.215 AU,37.5 days,0.33
240,2.18 x Earth,Neptune-like,Radial Velocity,6.7 Earths,2024,0.0749 AU,8.5 days,< 0.36
241,1.24 x Earth,Super Earth,Transit,2.53 Earths,2024,0.01 AU,0.6 days,0.0
242,1.54 x Earth,Super Earth,Transit,2.99 Earths,2024,0.02 AU,2.3 days,
243,1.06 x Jupiter (estimate),Gas Giant,Microlensing,29 Jupiters,2023,1.07 AU,2.1 years,
244,1.08 x Jupiter (estimate),Gas Giant,Microlensing,19 Jupiters,2023,0.96 AU,2.1 years,
245,1.08 x Jupiter (estimate),Gas Giant,Microlensing,21 Jupiters,2023,1.64 AU,3.7 years,
246,1.2 x Jupiter (estimate),Gas Giant,Microlensing,1.747 Jupiters,2023,5.19 AU,16 years,
247,1.073 x Earth,Super Earth,Transit,1.25 Earths,2023,0.0503 AU,4.2 days,0.16
248,1.08 x Jupiter (estimate),Gas Giant,Microlensing,21 Jupiters,2023,0.9 AU,2.4 years,
249,0.88 x Jupiter,Gas Giant,Transit,3 Jupiters,2023,0.0831 AU,8.3 days,0.32
250,1.0 x Jupiter,Gas Giant,Transit,0.64 Jupiters,2023,0.073 AU,7.2 days,0.0
251,0.329 x Jupiter (estimate),Neptune-like,Radial Velocity,13.15 Earths,2023,0.02262 AU,3.7 days,0.08
252,0.93 x Jupiter,Gas Giant,Transit,9.3 Jupiters,2023,0.112 AU,13.3 days,0.11
253,0.73 x Jupiter,Gas Giant,Transit,3.87 Jupiters,2023,0.173 AU,22.1 days,< 0.074
254,1.17 x Jupiter (estimate),Gas Giant,Radial Velocity,3.42 Jupiters,2023,3.9 AU,7.2 years,0.2
255,1.12 x Jupiter (estimate),Gas Giant,Radial Velocity,9.1 Jupiters,2023,7.46 AU,14.1 years,0.2
256,1.21 x Jupiter (estimate),Gas Giant,Microlensing,1.47 Jupiters,2023,4.5 AU,11.3 years,
257,0.439 x Jupiter (estimate),Neptune-like,Radial Velocity,21.5 Earths,2023,Unknown,50.1 days,0.32
258,2.49 x Earth,Super Earth,Radial Velocity,17.2 Earths,2023,0.58 AU,146.1 days,0.24
259,2.2 x Earth,Neptune-like,Transit,5.69 Earths,2023,0.0793 AU,9.1 days,
260,0.213 x Jupiter,Neptune-like,Transit,6.3 Earths,2023,0.1039 AU,13.7 days,
261,0.254 x Jupiter,Neptune-like,Transit,8.52 Earths,2023,0.1362 AU,20.5 days,
