id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink
48,K2-419 A b,268.685,0.617 Jupiters,16.52,2024,https://science.nasa.gov/exoplanet-catalog/k2-419-a-b/
49,TOI-5634 A b,306.144,1.85005 Jupiters,16.854,2024,https://science.nasa.gov/exoplanet-catalog/toi-5634-a-b/
50,TOI-6255 b,20.3167,1.44 Earths,12.747,2024,https://science.nasa.gov/exoplanet-catalog/toi-6255-b/
51,HD 118203 c,92.2589,11.1 Jupiters,8.05,2024,https://science.nasa.gov/exoplanet-catalog/hd-118203-c/
52,TOI-4379 b,645.158,1.113 Jupiters,12.661,2024,https://science.nasa.gov/exoplanet-catalog/toi-4379-b/
53,TOI-6029 b,603.119,1.635 Jupiters,12.858,2024,https://science.nasa.gov/exoplanet-catalog/toi-6029-b/
54,GJ 238 b,15.2142,0.126 Earths,11.62,2024,https://science.nasa.gov/exoplanet-catalog/gj-238-b/
55,TOI-1408 c,139.484,7.6 Earths,9.270001,2024,https://science.nasa.gov/exoplanet-catalog/toi-1408-c/
56,Gaia22dkvL b,1270,0.591 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/gaia22dkvl-b/
57,TOI-1798.02,113.181,5.6 Earths,11.361,2024,https://science.nasa.gov/exoplanet-catalog/toi-1798-02/
58,HD 77946 b,99.451,10.9 Earths,8.99,2024,https://science.nasa.gov/exoplanet-catalog/hd-77946-b/
59,HD 6061 b,67.6203,10 Earths,8.844,2023,https://science.nasa.gov/exoplanet-catalog/hd-6061-b/
60,HD 135694 b,73.8713,6.1 Earths,9.08,2023,https://science.nasa.gov/exoplanet-catalog/hd-135694-b/
61,TOI-757 b,60.3418,10.5 Earths,9.743,2024,https://science.nasa.gov/exoplanet-catalog/toi-757-b/
62,HD 25463 c,45.6181,4.3 Earths,6.91134,2023,https://science.nasa.gov/exoplanet-catalog/hd-25463-c/
63,HD 25463 b,45.6181,8.7 Earths,6.91134,2023,https://science.nasa.gov/exoplanet-catalog/hd-25463-b/
64,HIP 8152 c,101.694,10.7 Earths,10.07,2023,https://science.nasa.gov/exoplanet-catalog/hip-8152-c/
65,HIP 8152 b,101.694,8.9 Earths,10.07,2023,https://science.nasa.gov/exoplanet-catalog/hip-8152-b/
66,WASP-156 b,122.066,0.13152 Jupiters,11.559,2017,https://science.nasa.gov/exoplanet-catalog/wasp-156-b/
67,TOI-1410 c,72.7512,27 Earths,11.111,2024,https://science.nasa.gov/exoplanet-catalog/toi-1410-c/
68,TOI-1294 c,332.648,0.46251 Jupiters,11.314,2024,https://science.nasa.gov/exoplanet-catalog/toi-1294-c/
69,TIC 46432937 b,90.5369,3.2 Jupiters,14.268,2024,https://science.nasa.gov/exoplanet-catalog/tic-46432937-b/
70,TIC 241249530 b,324.448,4.98 Jupiters,11.908,2024,https://science.nasa.gov/exoplanet-catalog/tic-241249530-b/
71,TOI-3261 b,300.141,30.3 Earths,13.261,2024,https://science.nasa.gov/exoplanet-catalog/toi-3261-b/
72,TOI-2128 b,36.578,4.5 Earths,7.22142,2024,https://science.nasa.gov/exoplanet-catalog/toi-2128-b/
73,TOI-2088 b,126.46,37 Earths,11.638,2024,https://science.nasa.gov/exoplanet-catalog/toi-2088-b/
74,TOI-1836 c,191.649,8 Earths,9.765,2024,https://science.nasa.gov/exoplanet-catalog/toi-1836-c/
75,TOI-1836 b,191.649,24.7 Earths,9.765,2024,https://science.nasa.gov/exoplanet-catalog/toi-1836-b/
76,TOI-1824 b,59.4314,16 Earths,9.721,2024,https://science.nasa.gov/exoplanet-catalog/toi-1824-b/
77,TOI-1799 b,62.1274,4 Earths,8.98,2024,https://science.nasa.gov/exoplanet-catalog/toi-1799-b/
78,TOI-1794 b,155.791,8.7 Earths,10.32,2024,https://science.nasa.gov/exoplanet-catalog/toi-1794-b/
79,TOI-1776 b,44.647,1.4 Earths,8.26,2024,https://science.nasa.gov/exoplanet-catalog/toi-1776-b/
80,TOI-1775 b,149.234,0.30205 Jupiters,11.648,2024,https://science.nasa.gov/exoplanet-catalog/toi-1775-b/
81,TOI-1758 b,96.6215,6.9 Earths,10.794,2024,https://science.nasa.gov/exoplanet-catalog/toi-1758-b/
82,TOI-1753 b,226.671,16.6 Earths,11.831,2024,https://science.nasa.gov/exoplanet-catalog/toi-1753-b/
83,TOI-1723 b,100.727,10.4 Earths,9.664,2024,https://science.nasa.gov/exoplanet-catalog/toi-1723-b/
84,TOI-1691 b,111.445,14.6 Earths,10.134,2024,https://science.nasa.gov/exoplanet-catalog/toi-1691-b/
85,TOI-1669 c,111.276,13 Earths,10.218,2024,https://science.nasa.gov/exoplanet-catalog/toi-1669-c/
86,TOI-1472 b,121.84,16.5 Earths,11.302,2024,https://science.nasa.gov/exoplanet-catalog/toi-1472-b/
87,TOI-1451 b,91.9362,15.2 Earths,9.584,2024,https://science.nasa.gov/exoplanet-catalog/toi-1451-b/
88,TOI-1443 b,85.8034,30 Earths,10.675,2024,https://science.nasa.gov/exoplanet-catalog/toi-1443-b/
89,TOI-1437 b,103.297,9.6 Earths,9.173,2024,https://science.nasa.gov/exoplanet-catalog/toi-1437-b/
90,TOI-1294 b,332.648,0.20105 Jupiters,11.314,2024,https://science.nasa.gov/exoplanet-catalog/toi-1294-b/
91,TOI-1279 b,107.055,10.6 Earths,10.714,2024,https://science.nasa.gov/exoplanet-catalog/toi-1279-b/
92,TOI-1269 b,172.138,6.4 Earths,11.618,2024,https://science.nasa.gov/exoplanet-catalog/toi-1269-b/
93,TOI-1249 b,139.49,11.9 Earths,11.089,2024,https://science.nasa.gov/exoplanet-catalog/toi-1249-b/
94,TOI-1248 b,168.735,27.4 Earths,11.806,2024,https://science.nasa.gov/exoplanet-catalog/toi-1248-b/
95,TOI-1244 b,102.551,6.6 Earths,11.929,2024,https://science.nasa.gov/exoplanet-catalog/toi-1244-b/
96,TOI-1184 b,58.5946,6.8 Earths,10.988,2024,https://science.nasa.gov/exoplanet-catalog/toi-1184-b/
97,TOI-1180 b,72.0238,10 Earths,11.017,2024,https://science.nasa.gov/exoplanet-catalog/toi-1180-b/
98,TOI-1174 b,94.6375,32 Earths,10.964,2024,https://science.nasa.gov/exoplanet-catalog/toi-1174-b/
99,TOI-1173 b,132.353,27.4 Earths,11.038,2024,https://science.nasa.gov/exoplanet-catalog/toi-1173-b/
100,TOI-762 A b,98.4458,0.251 Jupiters,16,2024,https://science.nasa.gov/exoplanet-catalog/toi-762-a-b/
101,TOI-480 b,54.5306,20.8 Earths,7.28,2024,https://science.nasa.gov/exoplanet-catalog/toi-480-b/
102,TOI-260 b,20.1852,4.23 Earths,9.9,2024,https://science.nasa.gov/exoplanet-catalog/toi-260-b/
103,TOI-5301 b,629.161,3.72 Jupiters,11.738,2024,https://science.nasa.gov/exoplanet-catalog/toi-5301-b/
104,TOI-5232 b,609.388,2.34 Jupiters,12.246,2024,https://science.nasa.gov/exoplanet-catalog/toi-5232-b/
105,TOI-4153 b,423.84,1.15 Jupiters,11.601,2024,https://science.nasa.gov/exoplanet-catalog/toi-4153-b/
106,TOI-3919 b,604.591,3.88 Jupiters,12.858,2024,https://science.nasa.gov/exoplanet-catalog/toi-3919-b/
107,TOI-3894 b,417.365,0.82 Jupiters,11.992,2024,https://science.nasa.gov/exoplanet-catalog/toi-3894-b/
108,TOI-3321 b,285.895,0.554 Jupiters,11.076,2024,https://science.nasa.gov/exoplanet-catalog/toi-3321-b/
109,TOI-2368 b,210.915,0.65 Jupiters,12.486,2024,https://science.nasa.gov/exoplanet-catalog/toi-2368-b/
110,TOI-2107 b,236.705,0.83 Jupiters,12.0363,2024,https://science.nasa.gov/exoplanet-catalog/toi-2107-b/
111,TOI-2019 b,198.007,34.4 Earths,10.263,2024,https://science.nasa.gov/exoplanet-catalog/toi-2019-b/
112,TOI-1898 b,79.6682,0.40588 Jupiters,7.87,2024,https://science.nasa.gov/exoplanet-catalog/toi-1898-b/
