id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink
1500,TOI-776 c,27.1701,6.9 Earths,11.536,2020,https://science.nasa.gov/exoplanet-catalog/toi-776-c/
1501,TOI-776 b,27.1701,5 Earths,11.536,2020,https://science.nasa.gov/exoplanet-catalog/toi-776-b/
1502,TOI-561 e,85.799,12.6 Earths,10.252,2020,https://science.nasa.gov/exoplanet-catalog/toi-561-e/
1503,TOI-561 d,85.799,13.2 Earths,10.252,2020,https://science.nasa.gov/exoplanet-catalog/toi-561-d/
1504,TOI-561 c,85.799,5.39 Earths,10.252,2020,https://science.nasa.gov/exoplanet-catalog/toi-561-c/
1505,TOI-561 b,85.799,2 Earths,10.252,2020,https://science.nasa.gov/exoplanet-catalog/toi-561-b/
1506,HAT-P-68 b,202.152,0.724 Jupiters,13.802,2020,https://science.nasa.gov/exoplanet-catalog/hat-p-68-b/
1507,WASP-187 b,371.414,0.8 Jupiters,10.295,2020,https://science.nasa.gov/exoplanet-catalog/wasp-187-b/
1508,WASP-186 b,278.514,4.22 Jupiters,10.81,2020,https://science.nasa.gov/exoplanet-catalog/wasp-186-b/
1509,WASP-107 c,64.7414,0.36 Jupiters,11.592,2020,https://science.nasa.gov/exoplanet-catalog/wasp-107-c/
1510,TOI-942 c,152.601,37 Earths,11.982,2020,https://science.nasa.gov/exoplanet-catalog/toi-942-c/
1511,TOI-942 b,152.601,2.6 Jupiters,11.982,2020,https://science.nasa.gov/exoplanet-catalog/toi-942-b/
1512,TOI-892 b,340.543,0.95 Jupiters,11.43,2020,https://science.nasa.gov/exoplanet-catalog/toi-892-b/
1513,TOI-481 b,179.366,1.53 Jupiters,9.972,2020,https://science.nasa.gov/exoplanet-catalog/toi-481-b/
1514,TOI-251 b,99.523,1 Jupiter,9.887,2021,https://science.nasa.gov/exoplanet-catalog/toi-251-b/
1515,TOI-237 b,38.0749,2.67 Earths,16.37,2020,https://science.nasa.gov/exoplanet-catalog/toi-237-b/
1516,TOI-122 b,62.118,7.85 Earths,15.526,2020,https://science.nasa.gov/exoplanet-catalog/toi-122-b/
1517,TIC 237913194 b,306.063,1.942 Jupiters,12.144,2020,https://science.nasa.gov/exoplanet-catalog/tic-237913194-b/
1518,MOA-2013-BLG-220L b,6720,2.74 Jupiters,Unknown,2014,https://science.nasa.gov/exoplanet-catalog/moa-2013-blg-220l-b/
1519,LP 714-47 b,52.616,30.8 Earths,12.492,2020,https://science.nasa.gov/exoplanet-catalog/lp-714-47-b/
1520,K2-111 c,200.394,11.08 Earths,11.13,2020,https://science.nasa.gov/exoplanet-catalog/k2-111-c/
1521,HD 216520 c,19.552,9.44 Earths,7.53,2020,https://science.nasa.gov/exoplanet-catalog/hd-216520-c/
1522,HD 216520 b,19.552,10.26 Earths,7.53,2020,https://science.nasa.gov/exoplanet-catalog/hd-216520-b/
1523,HD 190007 b,12.7141,15.5 Earths,7.46,2020,https://science.nasa.gov/exoplanet-catalog/hd-190007-b/
1524,TOI-954 b,238.768,0.174 Jupiters,10.343,2020,https://science.nasa.gov/exoplanet-catalog/toi-954-b/
1525,Kepler-595 c,643.009,3.3 Earths,15.067,2020,https://science.nasa.gov/exoplanet-catalog/kepler-595-c/
1526,EPIC 201757695.02,577.6,0.688 Earths,14.974,2020,https://science.nasa.gov/exoplanet-catalog/epic-20175769502/
1527,EPIC 201170410.02,134,1.15 Earths,17.6984,2020,https://science.nasa.gov/exoplanet-catalog/epic-20117041002/
1528,OGLE-2017-BLG-1375L b,3930,11.28 Jupiters,Unknown,2020,https://science.nasa.gov/exoplanet-catalog/ogle-2017-blg-1375l-b/
1529,OGLE-2017-BLG-0604L b,3950,0.51 Jupiters,Unknown,2020,https://science.nasa.gov/exoplanet-catalog/ogle-2017-blg-0604l-b/
1530,KMT-2016-BLG-2397L b,4880,2.63 Jupiters,Unknown,2020,https://science.nasa.gov/exoplanet-catalog/kmt-2016-blg-2397l-b/
1531,KMT-2016-BLG-2364L b,6440,3.93 Jupiters,Unknown,2020,https://science.nasa.gov/exoplanet-catalog/kmt-2016-blg-2364l-b/
1532,Kepler-462 c,596.625,6 Earths,11.632,2020,https://science.nasa.gov/exoplanet-catalog/kepler-462-c/
1533,TOI-837 b,142.488,0.379 Jupiters,10.635,2020,https://science.nasa.gov/exoplanet-catalog/toi-837-b/
1534,NGTS-12 b,446.442,0.208 Jupiters,12.382,2020,https://science.nasa.gov/exoplanet-catalog/ngts-12-b/
1535,GJ 3473 c,27.3644,7.41 Earths,13.74,2020,https://science.nasa.gov/exoplanet-catalog/gj-3473-c/
1536,GJ 3473 b,27.3644,1.86 Earths,13.74,2020,https://science.nasa.gov/exoplanet-catalog/gj-3473-b/
1537,TOI-540 b,14.0022,0.674 Earths,14.823,2020,https://science.nasa.gov/exoplanet-catalog/toi-540-b/
1538,OGLE-2018-BLG-1269L b,2510,0.67 Jupiters,Unknown,2020,https://science.nasa.gov/exoplanet-catalog/ogle-2018-blg-1269l-b/
1539,KMT-2019-BLG-0842L b,3320,10.28 Earths,Unknown,2020,https://science.nasa.gov/exoplanet-catalog/kmt-2019-blg-0842l-b/
1540,TOI-421 c,74.7969,14.1 Earths,9.931,2020,https://science.nasa.gov/exoplanet-catalog/toi-421-c/
1541,TOI-421 b,74.7969,6.7 Earths,9.931,2020,https://science.nasa.gov/exoplanet-catalog/toi-421-b/
1542,TOI-1266 c,36.0118,2.88 Earths,12.941,2020,https://science.nasa.gov/exoplanet-catalog/toi-1266-c/
1543,TOI-1266 b,36.0118,4.23 Earths,12.941,2020,https://science.nasa.gov/exoplanet-catalog/toi-1266-b/
1544,KMT-2018-BLG-0748L b,7300,0.19 Jupiters,Unknown,2020,https://science.nasa.gov/exoplanet-catalog/kmt-2018-blg-0748l-b/
1545,TOI-824 b,63.9262,18.467 Earths,11.314,2020,https://science.nasa.gov/exoplanet-catalog/toi-824-b/
1546,TOI-763 c,95.1274,9.32 Earths,10.265,2020,https://science.nasa.gov/exoplanet-catalog/toi-763-c/
1547,TOI-763 b,95.1274,9.79 Earths,10.265,2020,https://science.nasa.gov/exoplanet-catalog/toi-763-b/
1548,LTT 9779 b,80.4373,29.32 Earths,9.79,2020,https://science.nasa.gov/exoplanet-catalog/ltt-9779-b/
1549,HD 63433 c,22.4035,17.2 Earths,6.92035,2020,https://science.nasa.gov/exoplanet-catalog/hd-63433-c/
1550,HD 63433 b,22.4035,37.3 Earths,6.92035,2020,https://science.nasa.gov/exoplanet-catalog/hd-63433-b/
1551,HATS-71 b,140.225,0.37 Jupiters,16.437,2020,https://science.nasa.gov/exoplanet-catalog/hats-71-b/
1552,GJ 9066 c,4.471,0.21 Jupiters,12.71,2020,https://science.nasa.gov/exoplanet-catalog/gj-9066-c/
1553,WD 1856+534 b,24.7359,13.8 Jupiters,17.244,2020,https://science.nasa.gov/exoplanet-catalog/wd-1856534-b/
1554,Kepler-1702 b,857.14,3.2 Earths,16.231,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1702-b/
1555,Kepler-1701 b,584.142,5.57 Earths,14.722,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1701-b/
1556,Kepler-1700 b,717.597,8.76 Earths,13.764,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1700-b/
1557,Kepler-1699 b,818.759,3.08 Earths,14.836,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1699-b/
1558,Kepler-1698 b,222.345,1.25 Earths,13.054,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1698-b/
1559,Kepler-1697 b,247.771,2.12 Earths,13.556,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1697-b/
1560,Kepler-1696 b,1506.36,8.29 Earths,15.505,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1696-b/
1561,Kepler-1695 b,791.175,1.46 Earths,14.762,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1695-b/
1562,Kepler-1514 c,397.292,1.74 Earths,11.766,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1514-c/
1563,Kepler-783 c,516.09,6.04 Earths,14.153,2020,https://science.nasa.gov/exoplanet-catalog/kepler-783-c/
1564,Kepler-385 d,1432.61,7.36 Earths,15.76,2020,https://science.nasa.gov/exoplanet-catalog/kepler-385-d/
1565,Kepler-305 e,868.477,3.87 Earths,15.851,2020,https://science.nasa.gov/exoplanet-catalog/kepler-305-e/
1566,Kepler-1694 b,513.329,1.76 Earths,14.901,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1694-b/
1567,Kepler-1693 b,760.065,2.21 Earths,14.857,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1693-b/
1568,Kepler-1692 b,591.019,1.42 Earths,14.674,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1692-b/
1569,Kepler-1691 b,1267.67,4.02 Earths,14.893,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1691-b/
1570,Kepler-1690 b,703.789,8.3 Earths,14.882,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1690-b/
1571,Kepler-1689 b,294.122,0.799 Earths,12.227,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1689-b/
1572,Kepler-1688 b,567.4468709,2.13 Earths,14.142,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1688-b/
1573,Kepler-1687 b,417.014,3.38 Earths,15.928,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1687-b/
1574,Kepler-1686 b,729.823,2.62 Earths,13.661,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1686-b/
1575,Kepler-1685 b,1141.89,7.16 Earths,16.096,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1685-b/
1576,Kepler-1684 b,621.996,8.6 Earths,15.951,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1684-b/
1577,Kepler-1683 b,733.143,4.17 Earths,14.962,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1683-b/
1578,Kepler-1682 b,1159.85,8.7 Earths,15.907,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1682-b/
1579,Kepler-1681 b,758.3,7.05 Earths,14.646,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1681-b/
1580,Kepler-1680 b,310.315,2.42 Earths,13.85,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1680-b/
1581,Kepler-1679 b,909.28,4.93 Earths,15.327,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1679-b/
1582,Kepler-1678 b,847.339,10.9 Earths,15.02,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1678-b/
1583,Kepler-1677 b,735.369,7.76 Earths,13.806,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1677-b/
1584,Kepler-1676 b,931.10787546783,11.3 Earths,13.485,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1676-b/
1585,Kepler-1675 b,651.117,9.93 Earths,13.672,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1675-b/
1586,Kepler-1674 b,1012.48,10.4 Earths,15.697,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1674-b/
1587,Kepler-1673 b,727.187,8.93 Earths,13.783,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1673-b/
1588,Kepler-1672 b,391.181,9.11 Earths,12.548,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1672-b/
1589,Kepler-1671 b,357.059,2.32 Earths,13.439,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1671-b/
1590,Kepler-1670 b,2065.98,11.2 Earths,15.743,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1670-b/
1591,Kepler-1669 b,543.444,8.15 Earths,16.473,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1669-b/
1592,Kepler-1668 b,1335.64,17.4 Earths,15.792,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1668-b/
1593,Kepler-1667 b,626.819,9.19 Earths,13.52,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1667-b/
1594,Kepler-1666 c,1379.37,10.5 Earths,15.104,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1666-c/
1595,Kepler-1085 c,1364.53,10.7 Earths,15.273,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1085-c/
1596,Kepler-1001 c,928.978,3.11 Earths,15.582,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1001-c/
1597,Kepler-716 c,635.009,2.52 Earths,15.314,2020,https://science.nasa.gov/exoplanet-catalog/kepler-716-c/
1598,Kepler-647 c,1087.87,15.1 Earths,14.067,2020,https://science.nasa.gov/exoplanet-catalog/kepler-647-c/
1599,Kepler-598 c,681.086,9.4 Earths,14.829,2020,https://science.nasa.gov/exoplanet-catalog/kepler-598-c/
1600,Kepler-1666 b,1379.37,8.66 Earths,15.104,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1666-b/
1601,Kepler-1665 b,335.515,8.44 Earths,13.737,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1665-b/
1602,Kepler-1664 b,626.691,9.45 Earths,13.621,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1664-b/
1603,Kepler-1663 b,337.926,10.9 Earths,16.069,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1663-b/
1604,K2-326 b,282.308,5.82 Earths,15.982,2020,https://science.nasa.gov/exoplanet-catalog/k2-326-b/
1605,K2-325 b,111.638,5.48 Earths,17.77,2020,https://science.nasa.gov/exoplanet-catalog/k2-325-b/
1606,K2-324 b,136.667,6.48 Earths,15.223,2020,https://science.nasa.gov/exoplanet-catalog/k2-324-b/
1607,K2-323 b,118.318,5.06 Earths,14.935,2020,https://science.nasa.gov/exoplanet-catalog/k2-323-b/
1608,K2-322 b,123.415,4.35 Earths,13.963,2020,https://science.nasa.gov/exoplanet-catalog/k2-322-b/
1609,K2-321 b,77.6888,4.46 Earths,13.677,2020,https://science.nasa.gov/exoplanet-catalog/k2-321-b/
1610,K2-320 b,108.74,7.37 Earths,17.81,2020,https://science.nasa.gov/exoplanet-catalog/k2-320-b/
1611,K2-319 b,209.071,8.2 Earths,12.213,2020,https://science.nasa.gov/exoplanet-catalog/k2-319-b/
1612,K2-318 b,147.866,3.39 Earths,15.8,2020,https://science.nasa.gov/exoplanet-catalog/k2-318-b/
1613,K2-317 b,176.291,8.91 Earths,17.74,2020,https://science.nasa.gov/exoplanet-catalog/k2-317-b/
1614,K2-316 c,112.486,4.01 Earths,17.14,2020,https://science.nasa.gov/exoplanet-catalog/k2-316-c/
1615,K2-316 b,112.486,2.33 Earths,17.14,2020,https://science.nasa.gov/exoplanet-catalog/k2-316-b/
1616,HIP 48714 b,10.5298,22.9 Earths,8.99,2020,https://science.nasa.gov/exoplanet-catalog/hip-48714-b/
1617,HIP 4845 b,21.0974,14.4 Earths,10.06,2020,https://science.nasa.gov/exoplanet-catalog/hip-4845-b/
1618,HIP 38594 c,17.7886,0.15228 Jupiters,9.75,2020,https://science.nasa.gov/exoplanet-catalog/hip-38594-c/
1619,HIP 38594 b,17.7886,8.1 Earths,9.75,2020,https://science.nasa.gov/exoplanet-catalog/hip-38594-b/
1620,HIP 107772 b,23.6434,12.9 Earths,10.56,2020,https://science.nasa.gov/exoplanet-catalog/hip-107772-b/
1621,GJ 687 c,4.54939,16 Earths,9.15,2020,https://science.nasa.gov/exoplanet-catalog/gj-687-c/
1622,GJ 480 b,14.2358,13.2 Earths,11.49,2020,https://science.nasa.gov/exoplanet-catalog/gj-480-b/
1623,GJ 2056 b,28.4434,16.2 Earths,10.37,2020,https://science.nasa.gov/exoplanet-catalog/gj-2056-b/
1624,2MASS J01033563-5515561 AB b,47.2,13 Jupiters,15.788,2013,https://science.nasa.gov/exoplanet-catalog/2mass-j01033563-5515561-ab-b/
1625,KMT-2019-BLG-1953L b,7040,0.64 Jupiters,Unknown,2020,https://science.nasa.gov/exoplanet-catalog/kmt-2019-blg-1953l-b/
1626,KMT-2019-BLG-1339L b,6120,1.25 Jupiters,Unknown,2020,https://science.nasa.gov/exoplanet-catalog/kmt-2019-blg-1339l-b/
1627,K2-315 b,56.9686,0.809 Earths,17.67,2020,https://science.nasa.gov/exoplanet-catalog/k2-315-b/
1628,HATS-38 b,343.525,23.51942 Earths,11.967,2020,https://science.nasa.gov/exoplanet-catalog/hats-38-b/
1629,HATS-37 A b,211.896,31.46517 Earths,12.341,2020,https://science.nasa.gov/exoplanet-catalog/hats-37-a-b/
1630,HD 86226 c,45.683,7.25 Earths,7.93,2020,https://science.nasa.gov/exoplanet-catalog/hd-86226-c/
1631,BD-11 4672 c,27.1665,15.37 Earths,10.03,2020,https://science.nasa.gov/exoplanet-catalog/bd-11-4672-c/
1632,TOI-700 d,31.1265,1.25 Earths,13.151,2020,https://science.nasa.gov/exoplanet-catalog/toi-700-d/
1633,TOI-700 c,31.1265,7.27 Earths,13.151,2020,https://science.nasa.gov/exoplanet-catalog/toi-700-c/
1634,TOI-700 b,31.1265,0.704 Earths,13.151,2020,https://science.nasa.gov/exoplanet-catalog/toi-700-b/
1635,TOI-1899 b,128.438,0.67 Jupiters,14.88,2020,https://science.nasa.gov/exoplanet-catalog/toi-1899-b/
1636,TOI-169 b,407.84,0.791 Jupiters,12.355,2020,https://science.nasa.gov/exoplanet-catalog/toi-169-b/
1637,TOI-157 b,355.683,1.18 Jupiters,12.725,2020,https://science.nasa.gov/exoplanet-catalog/toi-157-b/
1638,HIP 67522 b,127.28,0.225 Jupiters,9.79,2020,https://science.nasa.gov/exoplanet-catalog/hip-67522-b/
1639,HIP 65 A b,61.7856,3.213 Jupiters,11,2020,https://science.nasa.gov/exoplanet-catalog/hip-65-a-b/
1640,HD 95338 b,36.9941,0.13353 Jupiters,8.62,2020,https://science.nasa.gov/exoplanet-catalog/hd-95338-b/
1641,HD 191939 d,53.6089,2.8 Earths,8.97,2020,https://science.nasa.gov/exoplanet-catalog/hd-191939-d/
1642,HD 191939 c,53.6089,8 Earths,8.97,2020,https://science.nasa.gov/exoplanet-catalog/hd-191939-c/
1643,HD 191939 b,53.6089,10 Earths,8.97,2020,https://science.nasa.gov/exoplanet-catalog/hd-191939-b/
1644,TYC 8998-760-1 c,94.6177,6 Jupiters,11.124,2020,https://science.nasa.gov/exoplanet-catalog/tyc-8998-760-1-c/
1645,WASP-148 c,246.353,0.392 Jupiters,12.036,2020,https://science.nasa.gov/exoplanet-catalog/wasp-148-c/
1646,WASP-148 b,246.353,0.287 Jupiters,12.036,2020,https://science.nasa.gov/exoplanet-catalog/wasp-148-b/
1647,Wendelstein-2 b,565.541,0.731 Jupiters,16.186,2020,https://science.nasa.gov/exoplanet-catalog/wendelstein-2-b/
1648,Wendelstein-1 b,305.3,0.592 Jupiters,15.564,2020,https://science.nasa.gov/exoplanet-catalog/wendelstein-1-b/
1649,TOI-1728 b,60.798,26.78 Earths,12.39,2020,https://science.nasa.gov/exoplanet-catalog/toi-1728-b/
1650,GJ 338 B b,6.33256,10.6 Earths,7.7,2020,https://science.nasa.gov/exoplanet-catalog/gj-338-b-b/
1651,OGLE-2017-BLG-0406L b,5200,0.41 Jupiters,26.1,2020,https://science.nasa.gov/exoplanet-catalog/ogle-2017-blg-0406l-b/
1652,TOI-849 b,225.734,0.13152 Jupiters,11.981,2020,https://science.nasa.gov/exoplanet-catalog/toi-849-b/
1653,NGTS-11 b,190.422,0.344 Jupiters,12.456,2020,https://science.nasa.gov/exoplanet-catalog/ngts-11-b/
1654,Kepler-160 d,937.013,0.31463 Jupiters,14.816,2020,https://science.nasa.gov/exoplanet-catalog/kepler-160-d/
1655,GJ 887 c,3.2871,7.6 Earths,7.33,2020,https://science.nasa.gov/exoplanet-catalog/gj-887-c/
1656,GJ 887 b,3.2871,4.2 Earths,7.33,2020,https://science.nasa.gov/exoplanet-catalog/gj-887-b/
1657,OGLE-2018-BLG-1700L b,7600,4.4 Jupiters,Unknown,2020,https://science.nasa.gov/exoplanet-catalog/ogle-2018-blg-1700l-b/
1658,KMT-2018-BLG-1292L b,3460,4.42 Jupiters,Unknown,2020,https://science.nasa.gov/exoplanet-catalog/kmt-2018-blg-1292l-b/
1659,KMT-2018-BLG-0029L b,3380,7.59 Earths,Unknown,2020,https://science.nasa.gov/exoplanet-catalog/kmt-2018-blg-0029l-b/
1660,OGLE-2018-BLG-0677L b,7580,3.96 Earths,Unknown,2020,https://science.nasa.gov/exoplanet-catalog/ogle-2018-blg-0677l-b/
1661,OGLE-2015-BLG-1771L b,7070,0.433 Jupiters,Unknown,2020,https://science.nasa.gov/exoplanet-catalog/ogle-2015-blg-1771l-b/
1662,OGLE-2012-BLG-0838L b,6320,0.167 Jupiters,Unknown,2020,https://science.nasa.gov/exoplanet-catalog/ogle-2012-blg-0838l-b/
1663,AU Microscopii b,9.7221,20.12 Earths,8.81,2020,https://science.nasa.gov/exoplanet-catalog/au-microscopii-b/
1664,HD 81817 b,269.126,24.128 Jupiters,4.26489,2020,https://science.nasa.gov/exoplanet-catalog/hd-81817-b/
1665,TOI-1235 b,39.6345,6.69 Earths,11.495,2020,https://science.nasa.gov/exoplanet-catalog/toi-1235-b/
1666,LTT 3780 c,21.9814,8.04 Earths,13.14,2020,https://science.nasa.gov/exoplanet-catalog/ltt-3780-c/
1667,LTT 3780 b,21.9814,2.46 Earths,13.14,2020,https://science.nasa.gov/exoplanet-catalog/ltt-3780-b/
1668,Kepler-88 d,376.863,3.05046 Jupiters,13.209,2020,https://science.nasa.gov/exoplanet-catalog/kepler-88-d/
1669,WASP-176 b,568.42,0.855 Jupiters,12.006,2020,https://science.nasa.gov/exoplanet-catalog/wasp-176-b/
1670,WASP-150 b,527.995,8.46 Jupiters,12.026,2020,https://science.nasa.gov/exoplanet-catalog/wasp-150-b/
1671,HD 332231 b,80.6665,0.23314 Jupiters,8.558,2020,https://science.nasa.gov/exoplanet-catalog/hd-332231-b/
1672,HD 164922 d,22.0016,4 Earths,7.01227,2020,https://science.nasa.gov/exoplanet-catalog/hd-164922-d/
1673,K2-292 b,114.293,24.5 Earths,9.885,2019,https://science.nasa.gov/exoplanet-catalog/k2-292-b/
1674,TOI-677 b,141.812,1.236 Jupiters,9.822,2020,https://science.nasa.gov/exoplanet-catalog/toi-677-b/
1675,KOI-1783.01,865.73,0.22339 Jupiters,13.978,2020,https://science.nasa.gov/exoplanet-catalog/koi-178301/
1676,KOI-1783.02,865.73,15 Earths,13.978,2020,https://science.nasa.gov/exoplanet-catalog/koi-178302/
1677,OGLE-TR-56 b,282.8391387,1.39 Jupiters,15.3,2002,https://science.nasa.gov/exoplanet-catalog/ogle-tr-56-b/
1678,Kepler-1649 c,92.1913,1.2 Earths,17.95,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1649-c/
1679,HD 158259 f,27.0498,6.14 Earths,6.47915,2020,https://science.nasa.gov/exoplanet-catalog/hd-158259-f/
1680,HD 158259 e,27.0498,6.08 Earths,6.47915,2020,https://science.nasa.gov/exoplanet-catalog/hd-158259-e/
1681,HD 158259 d,27.0498,5.41 Earths,6.47915,2020,https://science.nasa.gov/exoplanet-catalog/hd-158259-d/
1682,HD 158259 c,27.0498,5.6 Earths,6.47915,2020,https://science.nasa.gov/exoplanet-catalog/hd-158259-c/
1683,HD 158259 b,27.0498,2.22 Earths,6.47915,2020,https://science.nasa.gov/exoplanet-catalog/hd-158259-b/
1684,CoRoT-31 b,2005.76,0.84 Jupiters,15.479,2020,https://science.nasa.gov/exoplanet-catalog/corot-31-b/
1685,CoRoT-30 b,1032.23,2.9 Jupiters,15.571,2020,https://science.nasa.gov/exoplanet-catalog/corot-30-b/
1686,TYC 8998-760-1 b,94.6177,14 Jupiters,11.124,2020,https://science.nasa.gov/exoplanet-catalog/tyc-8998-760-1-b/
1687,TOI-1130 c,58.2609,1.05717 Jupiters,11.595,2020,https://science.nasa.gov/exoplanet-catalog/toi-1130-c/
1688,TOI-1130 b,58.2609,19.8 Earths,11.595,2020,https://science.nasa.gov/exoplanet-catalog/toi-1130-b/
1689,OGLE-2016-BLG-1227L b,Unknown,0.79 Jupiters,Unknown,2020,https://science.nasa.gov/exoplanet-catalog/ogle-2016-blg-1227l-b/
1690,NGTS-10 b,324.6986504,2.162 Jupiters,14.506,2020,https://science.nasa.gov/exoplanet-catalog/ngts-10-b/
1691,KMT-2016-BLG-1836L b,7100,2.2 Jupiters,Unknown,2019,https://science.nasa.gov/exoplanet-catalog/kmt-2016-blg-1836l-b/
1692,OGLE-2013-BLG-0911L b,3220,9.51 Jupiters,26.42,2019,https://science.nasa.gov/exoplanet-catalog/ogle-2013-blg-0911l-b/
1693,MASCARA-4 b,170.696,3.1 Jupiters,8.191,2020,https://science.nasa.gov/exoplanet-catalog/mascara-4-b/
1694,LHS 1815 b,29.8424,1.58 Earths,12.167,2020,https://science.nasa.gov/exoplanet-catalog/lhs-1815-b/
1695,TOI-132 b,163.678,22.4 Earths,11.197,2020,https://science.nasa.gov/exoplanet-catalog/toi-132-b/
1696,Kepler-1661 b,410.607,17 Earths,14.357,2020,https://science.nasa.gov/exoplanet-catalog/kepler-1661-b/
1697,HATS-72 b,127.589,39.85588 Earths,12.324,2020,https://science.nasa.gov/exoplanet-catalog/hats-72-b/
1698,HATS-49 b,324.413,0.353 Jupiters,14.988,2020,https://science.nasa.gov/exoplanet-catalog/hats-49-b/
1699,HATS-48 A b,263.609,0.243 Jupiters,14.226,2020,https://science.nasa.gov/exoplanet-catalog/hats-48-a-b/
1700,HATS-47 b,300.67,0.369 Jupiters,14.602,2020,https://science.nasa.gov/exoplanet-catalog/hats-47-b/
1701,GJ 1061 d,3.67278,1.64 Earths,12.7,2020,https://science.nasa.gov/exoplanet-catalog/gj-1061-d/
1702,GJ 1061 c,3.67278,1.74 Earths,12.7,2020,https://science.nasa.gov/exoplanet-catalog/gj-1061-c/
1703,GJ 1061 b,3.67278,1.37 Earths,12.7,2020,https://science.nasa.gov/exoplanet-catalog/gj-1061-b/
1704,EPIC 249893012 d,321.296,10.18 Earths,11.429,2020,https://science.nasa.gov/exoplanet-catalog/epic-249893012-d/
1705,EPIC 249893012 c,321.296,14.67 Earths,11.429,2020,https://science.nasa.gov/exoplanet-catalog/epic-249893012-c/
1706,EPIC 249893012 b,321.296,8.75 Earths,11.429,2020,https://science.nasa.gov/exoplanet-catalog/epic-249893012-b/
1707,TOI-125 d,111.059,13.6 Earths,11.023,2020,https://science.nasa.gov/exoplanet-catalog/toi-125-d/
1708,L 168-9 b,25.1496,4.07 Earths,11.005,2020,https://science.nasa.gov/exoplanet-catalog/l-168-9-b/
1709,GJ 433 d,9.06456,5.223 Earths,9.81,2020,https://science.nasa.gov/exoplanet-catalog/gj-433-d/
1710,GJ 3082 b,16.6186,8.2 Earths,11.041,2020,https://science.nasa.gov/exoplanet-catalog/gj-3082-b/
1711,GJ 229 A c,5.75624,8.58137 Earths,8.15,2020,https://science.nasa.gov/exoplanet-catalog/gj-229-a-c/
1712,GJ 180 d,11.9407,7.56 Earths,10.914,2020,https://science.nasa.gov/exoplanet-catalog/gj-180-d/
1713,GJ 1252 b,20.373,1.32 Earths,12.68,2020,https://science.nasa.gov/exoplanet-catalog/gj-1252-b/
1714,TOI-216.02,177.945,18.75188 Earths,12.324,2019,https://science.nasa.gov/exoplanet-catalog/toi-21602/
1715,TOI-216.01,177.945,0.56 Jupiters,12.324,2019,https://science.nasa.gov/exoplanet-catalog/toi-21601/
1716,TOI-150.01,336.267,2.51 Jupiters,11.39,2019,https://science.nasa.gov/exoplanet-catalog/toi-15001/
1717,DMPP-3 A b,45.23,2.58 Earths,9.066,2019,https://science.nasa.gov/exoplanet-catalog/dmpp-3-a-b/
1718,TOI-270 d,22.4793,4.78 Earths,12.603,2019,https://science.nasa.gov/exoplanet-catalog/toi-270-d/
1719,TOI-270 c,22.4793,6.15 Earths,12.603,2019,https://science.nasa.gov/exoplanet-catalog/toi-270-c/
